posted_at,post_type,text_hash,comments_count,shares_count,likes_loves,engage_outlier,day_name,hour
2014-04-02 09:24:33-04:00,status,6653a4805562e931b3de61df272f887a,11,20,217,0.0,Wednesday,9
2014-04-03 07:34:01-04:00,status,6653a4805562e931b3de61df272f887a,13,15,174,0.0,Thursday,7
2014-04-04 07:36:23-04:00,status,6653a4805562e931b3de61df272f887a,12,13,176,0.0,Friday,7
2014-04-17 12:18:09-04:00,link,b2cb3f335b7b183a04fcf71e4613e654,9,9,25,0.0,Thursday,12
2014-04-17 17:23:48-04:00,link,b2cb3f335b7b183a04fcf71e4613e654,32,76,657,0.0,Thursday,17
2014-04-22 12:16:02-04:00,link,41a35e331050c8fca0989ae675534d9b,8,25,17,0.0,Tuesday,12
2014-04-22 16:33:42-04:00,link,41a35e331050c8fca0989ae675534d9b,142,1811,2512,1.0,Tuesday,16
2014-04-23 13:13:00-04:00,link,e757faa9fff47edd3314f211f17e3e9b,8,21,23,0.0,Wednesday,13
2014-04-23 16:48:27-04:00,link,e757faa9fff47edd3314f211f17e3e9b,163,1268,2424,1.0,Wednesday,16
2014-04-24 12:31:16-04:00,link,3f19df1a1ea30bcc23839e1841c73c99,1,1,5,0.0,Thursday,12
2014-04-24 16:43:42-04:00,link,3f19df1a1ea30bcc23839e1841c73c99,29,137,329,0.0,Thursday,16
2014-04-29 12:48:18-04:00,link,a8fb3c17bf3efd358bebc16415f7f3b1,3,6,13,0.0,Tuesday,12
2014-04-29 16:44:53-04:00,link,a8fb3c17bf3efd358bebc16415f7f3b1,30,212,627,0.0,Tuesday,16
2014-04-30 12:36:44-04:00,link,7755887ba64ca5a7e8bcd9a3ab1e427a,2,9,23,0.0,Wednesday,12
2014-04-30 18:06:58-04:00,link,7755887ba64ca5a7e8bcd9a3ab1e427a,37,783,1793,0.0,Wednesday,18
2014-05-09 12:38:38-04:00,link,c6c0d473850958cbb35c23d39db55c6a,5,9,34,0.0,Friday,12
2014-05-09 17:15:10-04:00,link,c6c0d473850958cbb35c23d39db55c6a,46,79,334,0.0,Friday,17
2014-05-15 12:32:26-04:00,link,1da26050cf73024101733dfa7dbf6636,5,3,13,0.0,Thursday,12
2014-05-15 16:11:30-04:00,link,1da26050cf73024101733dfa7dbf6636,20,27,154,0.0,Thursday,16
2014-06-28 22:10:13-04:00,link,239dfafff6ef0ce885455fe69b3c6685,0,7,8,0.0,Saturday,22
2014-06-28 22:14:32-04:00,link,239dfafff6ef0ce885455fe69b3c6685,3,11,9,0.0,Saturday,22
2014-06-28 22:18:50-04:00,link,239dfafff6ef0ce885455fe69b3c6685,2,5,9,0.0,Saturday,22
2014-06-28 22:21:32-04:00,link,239dfafff6ef0ce885455fe69b3c6685,1,3,13,0.0,Saturday,22
2014-06-28 22:24:24-04:00,link,239dfafff6ef0ce885455fe69b3c6685,1,2,12,0.0,Saturday,22
2014-06-28 22:27:18-04:00,link,239dfafff6ef0ce885455fe69b3c6685,4,6,15,0.0,Saturday,22
2014-06-28 22:29:47-04:00,link,239dfafff6ef0ce885455fe69b3c6685,4,2,10,0.0,Saturday,22
2014-06-28 22:33:02-04:00,link,239dfafff6ef0ce885455fe69b3c6685,5,1,10,0.0,Saturday,22
2014-06-28 22:37:33-04:00,link,239dfafff6ef0ce885455fe69b3c6685,16,12,34,0.0,Saturday,22
2014-07-28 21:08:33-04:00,link,0c216f2b4ddd70d12d5b750b2f8e3981,150,201,648,0.0,Monday,21
2014-07-29 09:00:05-04:00,link,0c216f2b4ddd70d12d5b750b2f8e3981,42,62,182,0.0,Tuesday,9
2014-08-01 11:48:50-04:00,link,3b4211f7a62b4143f42c3002691e3adb,1,5,9,0.0,Friday,11
2014-08-01 14:59:31-04:00,link,3b4211f7a62b4143f42c3002691e3adb,23,29,205,0.0,Friday,14
2014-08-11 15:17:52-04:00,link,d6be4f638ced4f6bee83f59a886f0eb7,1,17,24,0.0,Monday,15
2014-08-11 16:37:33-04:00,link,d6be4f638ced4f6bee83f59a886f0eb7,28,316,734,0.0,Monday,16
2014-08-19 13:44:32-04:00,link,26cf09476323acbe21b15c9d8f0009f5,2,11,32,0.0,Tuesday,13
2014-08-20 14:50:01-04:00,link,26cf09476323acbe21b15c9d8f0009f5,39,160,428,0.0,Wednesday,14
2014-09-03 17:36:58-04:00,link,ac2aa9e63630c134da10b43d18571892,12,37,171,0.0,Wednesday,17
2014-09-04 16:15:15-04:00,link,5ca1aefc5f7dbce37f0b7c5eb6334add,10,13,143,0.0,Thursday,16
2014-09-05 14:55:10-04:00,link,ff81976f198cf3641fea2252d16ae2ca,40,569,1243,0.0,Friday,14
2014-09-06 05:15:00-04:00,link,5ca1aefc5f7dbce37f0b7c5eb6334add,7,18,143,0.0,Saturday,5
2014-09-06 11:55:01-04:00,link,ac2aa9e63630c134da10b43d18571892,15,28,169,0.0,Saturday,11
2014-09-06 18:15:04-04:00,link,ff81976f198cf3641fea2252d16ae2ca,17,105,309,0.0,Saturday,18
2014-09-11 01:43:58-04:00,link,9b1d2c96e6351b6641425d31f052826a,163,502,1015,0.0,Thursday,1
2014-09-12 04:52:04-04:00,link,ba9e330ab9b353072741ce1093942cdd,51,64,393,0.0,Friday,4
2014-09-12 05:12:24-04:00,link,ba9e330ab9b353072741ce1093942cdd,27,45,268,0.0,Friday,5
2014-09-13 12:41:53-04:00,link,9b1d2c96e6351b6641425d31f052826a,79,154,383,0.0,Saturday,12
2014-09-13 19:35:56-04:00,link,3b37fa27b0457de00b7fb38e44c5bb5a,18,80,340,0.0,Saturday,19
2014-09-13 23:41:07-04:00,link,6dc58032e62f37a370fe00eaca7f9e99,46,204,713,0.0,Saturday,23
2014-09-14 02:25:26-04:00,link,9d74c870a07089fd3027a75a28de3494,73,55,263,0.0,Sunday,2
2014-09-14 05:47:10-04:00,link,e64b69bfdab1c0368ed32b7ffa33c91c,35,190,1651,0.0,Sunday,5
2014-09-14 07:08:18-04:00,link,5081a7e758ea68a0b679c63576d711b1,36,41,170,0.0,Sunday,7
2014-09-14 09:32:29-04:00,link,9d74c870a07089fd3027a75a28de3494,15,16,106,0.0,Sunday,9
2014-09-14 11:16:23-04:00,link,3b37fa27b0457de00b7fb38e44c5bb5a,4,19,70,0.0,Sunday,11
2014-09-14 12:18:22-04:00,link,6dc58032e62f37a370fe00eaca7f9e99,12,26,140,0.0,Sunday,12
2014-09-14 12:39:12-04:00,link,27a56da6ab591dabf07aa58f851bda5b,28,339,584,0.0,Sunday,12
2014-09-14 14:24:34-04:00,link,3fec7d686e10ef15b34707f3633ad974,10,21,96,0.0,Sunday,14
2014-09-15 00:42:09-04:00,link,e64b69bfdab1c0368ed32b7ffa33c91c,11,30,199,0.0,Monday,0
2014-09-15 04:06:06-04:00,link,3fec7d686e10ef15b34707f3633ad974,5,6,40,0.0,Monday,4
2014-09-15 04:26:55-04:00,link,5081a7e758ea68a0b679c63576d711b1,10,3,42,0.0,Monday,4
2014-09-15 04:47:38-04:00,link,27a56da6ab591dabf07aa58f851bda5b,3,38,81,0.0,Monday,4
2014-09-26 15:25:05-04:00,link,45bb640312cea55e2f5a9ecc7d576f56,168,571,1207,0.0,Friday,15
2014-09-28 08:35:57-04:00,link,45bb640312cea55e2f5a9ecc7d576f56,50,124,361,0.0,Sunday,8
2014-10-11 14:04:24-04:00,link,022fc69ae14cd8bbcb7c72b015ca53a0,381,686,2067,0.0,Saturday,14
2014-10-12 13:15:01-04:00,link,022fc69ae14cd8bbcb7c72b015ca53a0,16,17,52,0.0,Sunday,13
2014-10-31 03:47:07-04:00,link,2319ede74219d85c560c7ce8e8fbc226,7,9,112,0.0,Friday,3
2014-10-31 05:22:30-04:00,link,2319ede74219d85c560c7ce8e8fbc226,11,14,59,0.0,Friday,5
2014-11-07 09:23:30-05:00,photo,4b5feeb72c4eecc7e8ab417015a1164d,14,12,266,0.0,Friday,9
2014-11-08 11:20:04-05:00,photo,724c9781af3dce16bae205da2de924d5,30,31,343,0.0,Saturday,11
2014-11-09 09:16:30-05:00,photo,724c9781af3dce16bae205da2de924d5,17,32,328,0.0,Sunday,9
2014-11-10 09:17:56-05:00,photo,4b5feeb72c4eecc7e8ab417015a1164d,7,21,198,0.0,Monday,9
2014-11-11 09:24:42-05:00,photo,4b5feeb72c4eecc7e8ab417015a1164d,50,35,349,0.0,Tuesday,9
2014-11-13 09:17:08-05:00,photo,4b5feeb72c4eecc7e8ab417015a1164d,9,28,297,0.0,Thursday,9
2014-11-14 09:40:01-05:00,photo,4b5feeb72c4eecc7e8ab417015a1164d,12,13,149,0.0,Friday,9
2014-11-17 10:25:05-05:00,photo,d46874bb3c18457c0b254dcca08572ed,6,14,135,0.0,Monday,10
2014-11-18 09:22:07-05:00,photo,d46874bb3c18457c0b254dcca08572ed,13,11,204,0.0,Tuesday,9
2014-11-22 15:33:47-05:00,photo,a8554171e3d928773d6d2a455e62b02a,20,38,265,0.0,Saturday,15
2014-11-23 16:17:22-05:00,photo,a8554171e3d928773d6d2a455e62b02a,80,73,457,0.0,Sunday,16
2014-12-06 19:58:47-05:00,link,e2c5ec39dd64ed0b355d80f7b636b700,236,106,643,0.0,Saturday,19
2014-12-06 21:58:42-05:00,link,e2c5ec39dd64ed0b355d80f7b636b700,123,67,455,0.0,Saturday,21
2015-01-09 15:40:08-05:00,link,5d2cbb1df297c36cbdd9da07d532065d,2,5,39,0.0,Friday,15
2015-01-09 15:40:12-05:00,link,5d2cbb1df297c36cbdd9da07d532065d,2,2,17,0.0,Friday,15
2015-01-09 15:40:34-05:00,link,5d2cbb1df297c36cbdd9da07d532065d,1,2,23,0.0,Friday,15
2015-01-09 15:40:36-05:00,link,5d2cbb1df297c36cbdd9da07d532065d,5,4,112,0.0,Friday,15
2015-01-09 15:41:48-05:00,link,5d2cbb1df297c36cbdd9da07d532065d,4,9,134,0.0,Friday,15
2015-01-09 15:41:57-05:00,link,5d2cbb1df297c36cbdd9da07d532065d,4,33,204,0.0,Friday,15
2015-01-09 15:42:24-05:00,link,5d2cbb1df297c36cbdd9da07d532065d,3,22,104,0.0,Friday,15
2015-01-13 22:43:31-05:00,link,cabfd4898386ba20bf56eaaac05c6151,8,10,41,0.0,Tuesday,22
2015-01-13 22:48:09-05:00,link,cabfd4898386ba20bf56eaaac05c6151,7,7,38,0.0,Tuesday,22
2015-01-20 18:25:12-05:00,link,a3cf1a1a3ea07980b27687b42c9f775c,51,98,509,0.0,Tuesday,18
2015-01-23 01:47:15-05:00,link,01f5ebcc655465fbdeda7a74e3fbc17c,10,12,59,0.0,Friday,1
2015-01-23 08:23:04-05:00,link,01f5ebcc655465fbdeda7a74e3fbc17c,206,290,1842,0.0,Friday,8
2015-01-23 21:57:49-05:00,link,a3cf1a1a3ea07980b27687b42c9f775c,34,146,796,0.0,Friday,21
2015-01-25 14:35:00-05:00,photo,f13c0019c124c216f46858f93074d7ab,51,112,482,0.0,Sunday,14
2015-01-25 23:25:00-05:00,photo,f13c0019c124c216f46858f93074d7ab,60,123,459,0.0,Sunday,23
2015-01-28 23:26:24-05:00,link,3fba08ac83aed1f5abbcf7eaf53a9224,626,1518,11868,1.0,Wednesday,23
2015-01-29 08:01:48-05:00,link,3fba08ac83aed1f5abbcf7eaf53a9224,83,135,1071,0.0,Thursday,8
2015-02-05 00:26:24-05:00,link,74186062eec1cffd2e734d1e9a6538bd,93,248,833,0.0,Thursday,0
2015-02-05 04:51:07-05:00,link,74186062eec1cffd2e734d1e9a6538bd,38,130,405,0.0,Thursday,4
