,id,name,main_headline,trim_link,web_url,posted_at,pub_date,description,snippet
0,5281959998_467433813289503,The Organic Fable,The Organic Fable,https://www.nytimes.com/2012/09/07/opinion/roger-cohen-the-organic-fable.html,https://www.nytimes.com/2012/09/07/opinion/roger-cohen-the-organic-fable.html,2012-09-08 16:44:02,2012-09-06T12:14:52+0000,A study exposes the hype behind a pseudoscientific ideology. The future is nonorganic.,A study exposes the hype behind a pseudoscientific ideology. The future is nonorganic.
1,5281959998_417695201626695,The New York Times Food,Recipes for Rosh Hashana,https://www.nytimes.com/slideshow/2011/09/21/dining/20110921-ROSH.html,https://www.nytimes.com/slideshow/2011/09/21/dining/20110921-ROSH.html,2012-09-17 20:46:12,2011-09-20T22:56:05+0000,Chocolate-Apricot Babka: http://nyti.ms/RZVv0F(Photo: Steve Legato for The New York Times),Festive and familiar dishes for celebrating the Jewish New Year.
2,5281959998_106658229491567,Foxconn Plant in China Closed After Worker Riot,"Foxconn Plant Closed After Riot, Company Says",https://www.nytimes.com/2012/09/25/technology/foxconn-plant-in-china-closed-after-worker-riot.html,https://www.nytimes.com/2012/09/25/technology/foxconn-plant-in-china-closed-after-worker-riot.html,2012-09-24 16:44:29,2012-09-24T07:22:51+0000,A spokesman said a fight among employees on Sunday night turned into a riot that had to be broken up by thousands of police officers.,A spokesman said a fight among employees on Sunday night turned into a riot that had to be broken up by thousands of police officers.
3,5281959998_10150256227144999,,NYT: Restaurant Update for 1/20/2006,https://www.nytimes.com/,https://www.nytimes.com/,2012-09-27 04:02:02,2018-08-28T19:42:47+0000,,NYT: Restaurant Update for 1/20/2006. Topic discussed is sunchokes.
4,5281959998_10150261255114999,,NYT: Restaurant Update for 1/20/2006,https://www.nytimes.com/,https://www.nytimes.com/,2012-10-23 03:49:24,2018-08-28T19:42:47+0000,,NYT: Restaurant Update for 1/20/2006. Topic discussed is sunchokes.
5,5281959998_10150264210359999,,NYT: Restaurant Update for 1/20/2006,https://www.nytimes.com/,https://www.nytimes.com/,2012-11-07 04:24:26,2018-08-28T19:42:47+0000,,NYT: Restaurant Update for 1/20/2006. Topic discussed is sunchokes.
6,5281959998_10150264244254999,,NYT: Restaurant Update for 1/20/2006,https://www.nytimes.com/,https://www.nytimes.com/,2012-11-07 06:38:44,2018-08-28T19:42:47+0000,,NYT: Restaurant Update for 1/20/2006. Topic discussed is sunchokes.
7,5281959998_10150264251264999,Timeline Photos,NYT: Restaurant Update for 1/20/2006,https://www.nytimes.com/,https://www.nytimes.com/,2012-11-07 07:34:45,2018-08-28T19:42:47+0000,,NYT: Restaurant Update for 1/20/2006. Topic discussed is sunchokes.
8,5281959998_10150266847269999,Timeline Photos,NYT: Restaurant Update for 1/20/2006,https://www.nytimes.com/,https://www.nytimes.com/,2012-11-22 18:37:44,2018-08-28T19:42:47+0000,,NYT: Restaurant Update for 1/20/2006. Topic discussed is sunchokes.
9,5281959998_296055523846833,Thanks for Not Sharing,Thanks for Not Sharing,https://www.nytimes.com/2012/12/07/opinion/roger-cohen-thanks-for-not-sharing.html,https://www.nytimes.com/2012/12/07/opinion/roger-cohen-thanks-for-not-sharing.html,2012-12-07 16:07:56,2012-12-06T13:09:12+0000,There is a new urge to behave as if life were some global high-school reunion at which everyone has taken a horrific tell-all drug.,There is a new urge to behave as if life were some global high-school reunion at which everyone has taken a horrific tell-all drug.
10,5281959998_10150270947469999,Timeline Photos,NYT: Restaurant Update for 1/20/2006,https://www.nytimes.com/,https://www.nytimes.com/,2012-12-15 00:09:08,2018-08-28T19:42:47+0000,,NYT: Restaurant Update for 1/20/2006. Topic discussed is sunchokes.
11,5281959998_10150271130169999,Timeline Photos,NYT: Restaurant Update for 1/20/2006,https://www.nytimes.com/,https://www.nytimes.com/,2012-12-16 01:44:44,2018-08-28T19:42:47+0000,,NYT: Restaurant Update for 1/20/2006. Topic discussed is sunchokes.
12,5281959998_10150271167164999,Timeline Photos,NYT: Restaurant Update for 1/20/2006,https://www.nytimes.com/,https://www.nytimes.com/,2012-12-16 04:49:16,2018-08-28T19:42:47+0000,,NYT: Restaurant Update for 1/20/2006. Topic discussed is sunchokes.
13,5281959998_10150271260474999,Timeline Photos,NYT: Restaurant Update for 1/20/2006,https://www.nytimes.com/,https://www.nytimes.com/,2012-12-16 17:12:33,2018-08-28T19:42:47+0000,,NYT: Restaurant Update for 1/20/2006. Topic discussed is sunchokes.
14,5281959998_10150276934359999,Timeline Photos,Sicilian Cauliflower and Black Olive Gratin,https://cooking.nytimes.com/recipes/1014473-sicilian-cauliflower-and-black-olive-gratin,https://cooking.nytimes.com/recipes/1014473-sicilian-cauliflower-and-black-olive-gratin,2013-01-15 22:45:12,2013-01-07T00:00:00+0000,,
15,5281959998_10150290409164999,,NYT: Restaurant Update for 1/20/2006,https://www.nytimes.com/,https://www.nytimes.com/,2013-03-05 22:03:40,2018-08-28T19:42:47+0000,,NYT: Restaurant Update for 1/20/2006. Topic discussed is sunchokes.
16,5281959998_427258064029101,E.U. Bans Cosmetics With Animal-Tested Ingredients,E.U. Bans Cosmetics With Animal-Tested Ingredients,https://www.nytimes.com/2013/03/11/business/global/eu-to-ban-cosmetics-with-animal-tested-ingredients.html,https://www.nytimes.com/2013/03/11/business/global/eu-to-ban-cosmetics-with-animal-tested-ingredients.html,2013-03-11 17:00:26,2013-03-11T09:24:34+0000,"In announcing the move, regulators pledged to pressure other parts of the world to accept alternatives.","In announcing the move, regulators pledged to pressure other parts of the world to accept alternatives."
17,5281959998_348613538571828,The New York Times - Lens - Photography,Birth Culture,https://www.nytimes.com/slideshow/2013/03/09/opinion/sunday/20130310_EXPOSURES-ss.html#1,https://www.nytimes.com/slideshow/2013/03/09/opinion/sunday/20130310_EXPOSURES-ss.html,2013-03-11 19:49:21,2013-03-09T19:09:23+0000,"Photo: A patient with her newborn baby in San Cristóbal, Dominican Republic.Alice Proujansky has spent the past six years photographing birth -- looking at its universal as well as cultural aspects, and the struggle to provide women with safe, respectful care.Her travels took her to a Navajo Nation-run hospital in Arizona to the sprawling slums in Lagos, Nigeria. She even went to her hometown hospital in Greenfield, Mass., where all the patients see only midwives but have access to doctors in case of an emergency. Her photo essay was published in The New York Times Sunday Review: http://nyti.ms/Y9PcxX Photo by Alice Proujansky",Cultural expectations and practices of birth vary around the world.
18,5281959998_545163495528371,The New York Times Food,Recipes for the Easter Table,https://www.nytimes.com/slideshow/2011/04/21/dining/20110421-easter.html,https://www.nytimes.com/slideshow/2011/04/21/dining/20110421-easter.html,2013-03-30 22:15:41,2011-04-21T23:11:19+0000,"Happy Easter Weekend! If you're still struggling with what to cook for Sunday, check out this list of main courses, sides and sweets for the Easter table: http://nyti.ms/Z0oW6y(Photo: Carly Calhoun for The New York Times)","From The Times, main courses, sides and sweets for the holiday."
19,5281959998_447312368677095,Girls Who Risk Their Lives for Education,Girls Who Risk Their Lives for Education,https://www.nytimes.com/2013/04/09/opinion/global/girls-who-risk-their-lives-for-education.html,https://www.nytimes.com/2013/04/09/opinion/global/girls-who-risk-their-lives-for-education.html,2013-04-09 20:00:58,2013-04-08T13:32:18+0000,"In Pakistan, more and more girls are saying that neither bombs nor bullets will keep them from school.","In Pakistan, more and more girls are saying that neither bombs nor bullets will keep them from school."
20,5281959998_10150298800199999,Timeline Photos,NYT: Restaurant Update for 1/20/2006,https://www.nytimes.com/,https://www.nytimes.com/,2013-04-17 02:02:09,2018-08-28T19:42:47+0000,,NYT: Restaurant Update for 1/20/2006. Topic discussed is sunchokes.
21,5281959998_10150299096204999,,NYT: Restaurant Update for 1/20/2006,https://www.nytimes.com/,https://www.nytimes.com/,2013-04-18 16:02:47,2018-08-28T19:42:47+0000,,NYT: Restaurant Update for 1/20/2006. Topic discussed is sunchokes.
22,5281959998_10150302202159999,Who’re You Calling a Neanderthal?,Whoâ€™re You Calling a Neanderthal?,https://www.nytimes.com/2013/05/03/opinion/global/Who-Are-You-Calling-a-Neanderthal.html,https://www.nytimes.com/2013/05/03/opinion/global/Who-Are-You-Calling-a-Neanderthal.html,2013-05-02 20:20:26,2013-05-02T12:18:10+0000,"In the last decade, the Neanderthals have been given a major rethinking.","In the last decade, the Neanderthals have been given a major rethinking."
